City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
2,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
3,Sabang,ID,82.29,few clouds,5.8933,95.3214,Hotel Citra
4,Bubaque,GW,78.19,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
7,San Borja,BO,81.39,broken clouds,-14.8167,-66.85,Hotel Atlântico Rio Grande
10,Rikitea,PF,77.29,light rain,-23.1203,-134.9692,People ThankYou
21,Atuona,PF,77.23,light rain,-9.8,-139.0333,Villa Enata
23,Ixtapa,MX,86.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
27,Vaini,TO,81.34,light rain,-21.2,-175.2,Keleti Beach Resort
30,Bambanglipuro,ID,78.04,overcast clouds,-7.95,110.2833,Puri Brata
31,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
38,Faanui,PF,80.15,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
40,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
47,Quilali,NI,83.88,clear sky,13.567,-86.026,Hospedaje Sandoval
49,Hobyo,SO,77.32,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
52,Sao Felix Do Xingu,BR,77.58,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
55,Paciran,ID,78.76,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
58,Upington,ZA,89.98,scattered clouds,-28.4478,21.2561,River Place Manor
59,Trairi,BR,83.16,scattered clouds,-3.2778,-39.2689,janelas do mar
62,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
63,Vao,NC,78.31,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
66,San Luis,AR,88.68,clear sky,-33.295,-66.3356,Huarpes Hotel
75,Kahului,US,76.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
76,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
81,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
82,Kimbe,PG,75.74,light rain,-5.5502,150.1429,Kimbe Bay Hotel
88,Bacalar,MX,75.31,scattered clouds,18.6667,-88.3833,Hotel Laguna Bacalar
89,Cabo San Lucas,MX,82.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
93,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
96,Arraial Do Cabo,BR,87.76,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
103,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
105,Saint-Pierre,RE,80.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
108,Perth,AU,75.33,clear sky,-31.9333,115.8333,Beatty Lodge
109,Imbituba,BR,75.81,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
110,Poum,NC,80.73,scattered clouds,-20.2333,164.0167,Gîte kajeon
