City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ribeira Grande,38.5167,-28.7,57.6,77,20,10.36,PT,2022-01-28 00:37:04
1,Port Elizabeth,-33.918,25.5701,67.1,88,0,5.75,ZA,2022-01-28 00:32:33
2,Saint George,37.1041,-113.5841,54.07,15,0,7.0,US,2022-01-28 00:35:45
3,New Norfolk,-42.7826,147.0587,86.67,33,27,6.53,AU,2022-01-28 00:31:25
4,Hobart,-42.8794,147.3294,87.03,55,75,9.22,AU,2022-01-28 00:31:06
5,Malanje,-9.5402,16.341,62.67,98,100,3.62,AO,2022-01-28 00:38:25
6,Vaini,-21.2,-175.2,82.83,78,21,14.56,TO,2022-01-28 00:32:11
7,Brae,60.3964,-1.353,42.71,73,48,11.56,GB,2022-01-28 00:35:19
8,Zacualpan,21.25,-105.1667,85.62,83,100,1.88,MX,2022-01-28 00:38:26
9,Namatanai,-3.6667,152.4333,85.53,68,56,6.78,PG,2022-01-28 00:37:28
10,Faanui,-16.4833,-151.75,81.12,76,15,14.97,PF,2022-01-28 00:37:19
11,Bredasdorp,-34.5322,20.0403,65.28,88,0,6.91,ZA,2022-01-28 00:35:16
12,Tiksi,71.6872,128.8694,-14.24,97,44,10.27,RU,2022-01-28 00:31:31
13,Bud,39.447,-86.1758,32.25,82,100,5.93,US,2022-01-28 00:38:26
14,Sinnamary,5.3833,-52.95,75.85,85,44,8.55,GF,2022-01-28 00:38:26
15,Wahiawa,21.5028,-158.0236,77.86,59,100,5.75,US,2022-01-28 00:38:27
16,Bac Lieu,9.285,105.7244,78.67,75,73,6.35,VN,2022-01-28 00:38:27
17,Saint-Francois,46.4154,3.9054,29.68,100,100,0.0,FR,2022-01-28 00:38:28
18,Atuona,-9.8,-139.0333,78.22,75,9,17.38,PF,2022-01-28 00:35:20
19,Jamestown,42.097,-79.2353,25.09,62,100,5.99,US,2022-01-28 00:35:27
20,Kapaa,22.0752,-159.319,80.11,75,0,1.01,US,2022-01-28 00:31:25
21,Pevek,69.7008,170.3133,-26.66,99,27,2.98,RU,2022-01-28 00:35:25
22,Hermanus,-34.4187,19.2345,65.8,80,0,3.29,ZA,2022-01-28 00:35:26
23,Hithadhoo,-0.6,73.0833,81.0,70,100,14.54,MV,2022-01-28 00:36:12
24,Butaritari,3.0707,172.7902,82.31,77,2,15.68,KI,2022-01-28 00:31:17
25,Saskylakh,71.9167,114.0833,4.26,89,86,14.88,RU,2022-01-28 00:31:35
26,Punta Arenas,-53.15,-70.9167,51.91,82,0,9.22,CL,2022-01-28 00:35:16
27,Morristown,36.214,-83.2949,41.7,67,100,0.0,US,2022-01-28 00:35:32
28,Teya,60.3778,92.6267,-13.18,100,100,3.2,RU,2022-01-28 00:37:53
29,San Cristobal,7.7669,-72.225,71.78,90,70,2.19,VE,2022-01-28 00:37:32
