City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
0,Busselton,AU,-33.65,115.3333,65.08,89,0,15.55,clear sky
1,Ushuaia,AR,-54.8,-68.3,49.66,87,100,17.27,light rain
2,Manta,EC,-0.95,-80.7333,82.18,74,40,8.05,scattered clouds
3,Sabang,ID,5.8933,95.3214,82.29,71,19,9.73,few clouds
4,Bubaque,GW,11.2833,-15.8333,78.19,72,100,21.52,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,53.71,62,75,14.97,light rain
6,Bluff,NZ,-46.6,168.3333,61.81,88,100,6.85,light rain
7,San Borja,BO,-14.8167,-66.85,81.39,74,76,3.29,broken clouds
8,Krasnyy Chikoy,RU,50.3643,108.7512,-18.26,100,96,1.63,overcast clouds
9,Shahreza,IR,32.0339,51.8794,37.13,32,0,5.14,clear sky
10,Rikitea,PF,-23.1203,-134.9692,77.29,74,100,12.8,light rain
11,Zhigansk,RU,66.7697,123.3711,-27.8,100,100,3.67,overcast clouds
12,Krasnoselkup,RU,65.7,82.4667,-9.53,99,100,8.05,overcast clouds
13,Salalah,OM,17.0151,54.0924,70.47,69,41,3.6,scattered clouds
14,Nanortalik,GL,60.1432,-45.2371,20.21,70,100,14.03,light snow
15,Thompson,CA,55.7435,-97.8558,-2.04,71,20,2.3,few clouds
16,Klaksvik,FO,62.2266,-6.589,34.72,65,77,34.47,broken clouds
17,Patacamaya,BO,-17.2333,-67.9167,58.08,50,100,7.54,light rain
18,Onguday,RU,50.75,86.15,-8.09,98,49,2.68,scattered clouds
19,Wenling,CN,28.3669,121.36,38.91,97,100,12.97,overcast clouds
20,Lebu,CL,-37.6167,-73.65,64.9,74,3,8.52,clear sky
21,Atuona,PF,-9.8,-139.0333,77.23,80,29,14.54,light rain
22,Olafsvik,IS,64.8945,-23.7142,38.41,70,100,27.18,overcast clouds
23,Ixtapa,MX,20.7,-105.2,86.63,34,0,7.09,clear sky
24,Longyearbyen,SJ,78.2186,15.6401,8.44,66,20,14.97,few clouds
25,Kapaa,US,22.0752,-159.319,73.72,89,100,10.36,overcast clouds
26,Hobart,AU,-42.8794,147.3294,60.66,67,100,8.05,overcast clouds
27,Vaini,TO,-21.2,-175.2,81.34,79,100,17.36,light rain
28,Upernavik,GL,72.7868,-56.1549,1.42,93,100,3.65,overcast clouds
29,Fort Saint James,CA,54.4333,-124.25,27.46,95,100,5.66,overcast clouds
30,Bambanglipuro,ID,-7.95,110.2833,78.04,85,100,4.68,overcast clouds
31,Touros,BR,-5.1989,-35.4608,83.3,70,100,10.67,overcast clouds
32,Port Augusta,AU,-32.5,137.7667,73.71,57,28,7.34,scattered clouds
33,Nassau,US,40.7507,-73.5829,19.65,78,100,5.99,haze
34,East London,ZA,-33.0153,27.9116,72.54,78,75,9.22,broken clouds
35,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,75,40,8.75,scattered clouds
36,Bethel,US,41.3712,-73.414,15.85,83,100,7.0,light snow
37,Port Alfred,ZA,-33.5906,26.891,70.41,77,41,13.38,scattered clouds
38,Faanui,PF,-16.4833,-151.75,80.15,74,18,12.5,moderate rain
39,Urbana,US,40.1106,-88.2073,26.04,61,86,5.99,overcast clouds
40,Cabedelo,BR,-6.9811,-34.8339,84.87,71,55,8.57,broken clouds
41,Yar-Sale,RU,66.8333,70.8333,-7.83,96,100,8.23,overcast clouds
42,Pevek,RU,69.7008,170.3133,-15.81,99,98,2.08,overcast clouds
43,Quesnel,CA,52.9999,-122.5029,28.9,69,100,5.75,overcast clouds
44,Nuuk,GL,64.1835,-51.7216,11.88,85,100,11.01,overcast clouds
45,Krasnovishersk,RU,60.4078,57.082,8.06,97,100,2.42,overcast clouds
46,Toora-Khem,RU,52.4675,96.11,-22.63,100,95,0.45,overcast clouds
47,Quilali,NI,13.567,-86.026,83.88,30,2,10.76,clear sky
48,Airai,TL,-8.9266,125.4092,60.64,93,100,3.4,overcast clouds
49,Hobyo,SO,5.3505,48.5268,77.32,76,13,24.67,few clouds
50,Bermeo,ES,43.4209,-2.7215,48.81,79,0,9.44,clear sky
51,Flinders,AU,-34.5833,150.8552,74.21,85,100,5.99,overcast clouds
52,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.58,89,96,5.21,overcast clouds
53,Lasa,IT,46.6166,10.7002,45.48,61,7,8.93,clear sky
54,Barrow,US,71.2906,-156.7887,-16.26,99,100,10.18,overcast clouds
55,Paciran,ID,-6.8767,112.3761,78.76,84,100,7.52,overcast clouds
56,Jamestown,US,42.097,-79.2353,17.53,45,20,5.99,few clouds
57,Sistranda,NO,63.7256,8.834,39.16,81,100,26.26,overcast clouds
58,Upington,ZA,-28.4478,21.2561,89.98,25,40,16.11,scattered clouds
59,Trairi,BR,-3.2778,-39.2689,83.16,60,49,10.09,scattered clouds
60,La Mana,EC,-0.9333,-79.2167,96.01,85,100,3.2,light rain
61,Nome,US,64.5011,-165.4064,-4.85,68,0,6.6,clear sky
62,Georgetown,MY,5.4112,100.3354,83.89,89,20,1.99,few clouds
63,Vao,NC,-22.6667,167.4833,78.31,86,98,10.04,overcast clouds
64,Hermanus,ZA,-34.4187,19.2345,67.8,71,1,15.86,clear sky
65,Cape Town,ZA,-33.9258,18.4232,68.41,74,20,5.99,few clouds
66,San Luis,AR,-33.295,-66.3356,88.68,24,0,4.09,clear sky
67,Berdigestyakh,RU,62.0989,126.6992,-25.15,100,100,2.64,overcast clouds
68,Lodja,CD,-3.4833,23.4333,72.45,77,60,1.59,broken clouds
69,Katsuura,JP,35.1333,140.3,41.18,84,31,13.91,scattered clouds
70,Puerto Carreno,CO,6.189,-67.4859,91.38,40,40,11.5,scattered clouds
71,Bilma,NE,18.6853,12.9164,63.23,16,0,10.13,clear sky
72,Mataura,NZ,-46.1927,168.8643,61.48,96,100,1.88,light rain
73,Carnarvon,AU,-24.8667,113.6333,73.47,94,67,6.91,broken clouds
74,Minab,IR,27.1467,57.0801,67.5,70,1,3.6,clear sky
75,Kahului,US,20.8947,-156.47,76.26,69,20,14.97,few clouds
